,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000936.SZ,20191018,7.07,7.07,6.83,6.87,7.05,-0.18,-2.5532,95270.0,65928.18
1,000936.SZ,20191017,7.06,7.09,7.0,7.05,7.06,-0.01,-0.1416,54618.0,38426.277
2,000936.SZ,20191016,7.14,7.18,7.05,7.06,7.05,0.01,0.1418,72359.36,51369.878
3,000936.SZ,20191015,7.18,7.18,7.04,7.05,7.2,-0.15,-2.0833,95098.0,67429.895
4,000936.SZ,20191014,7.16,7.27,7.14,7.2,7.11,0.09,1.2658,158689.0,114216.037
5,000936.SZ,20191011,7.11,7.16,7.05,7.11,7.11,0.0,0.0,82465.0,58630.8
6,000936.SZ,20191010,6.95,7.14,6.93,7.11,6.99,0.12,1.7167,113006.7,80074.129
7,000936.SZ,20191009,6.82,7.0,6.75,6.99,6.82,0.17,2.4927,72396.88,49680.477
8,000936.SZ,20191008,6.84,6.91,6.8,6.82,6.82,0.0,0.0,47441.0,32513.683
9,000936.SZ,20190930,6.92,6.95,6.82,6.82,6.92,-0.1,-1.4451,52099.0,35778.181
10,000936.SZ,20190927,6.83,6.93,6.81,6.92,6.82,0.1,1.4663,68182.16,46837.158
11,000936.SZ,20190926,7.05,7.08,6.81,6.82,7.0,-0.18,-2.5714,124924.21,86151.717
12,000936.SZ,20190925,7.15,7.15,6.98,7.0,7.22,-0.22,-3.0471,151871.41,107428.29
13,000936.SZ,20190924,7.25,7.28,7.19,7.22,7.22,0.0,0.0,97308.78,70413.676
14,000936.SZ,20190923,7.35,7.35,7.15,7.22,7.39,-0.17,-2.3004,136480.1,98297.46
15,000936.SZ,20190920,7.34,7.44,7.31,7.39,7.38,0.01,0.1355,133136.0,97978.012
16,000936.SZ,20190919,7.3,7.38,7.22,7.38,7.3,0.08,1.0959,107022.28,78168.882
17,000936.SZ,20190918,7.27,7.4,7.27,7.3,7.28,0.02,0.2747,107323.21,78632.224
18,000936.SZ,20190917,7.53,7.53,7.24,7.28,7.54,-0.26,-3.4483,202444.87,148770.834
19,000936.SZ,20190916,7.67,7.71,7.52,7.54,7.67,-0.13,-1.6949,198385.01,150849.008
20,000936.SZ,20190912,7.7,7.77,7.58,7.67,7.69,-0.02,-0.2601,176330.2,134863.045
21,000936.SZ,20190911,7.62,7.81,7.61,7.69,7.59,0.1,1.3175,279137.77,214949.862
22,000936.SZ,20190910,7.65,7.65,7.5,7.59,7.65,-0.06,-0.7843,220045.32,166338.424
23,000936.SZ,20190909,7.45,7.65,7.38,7.65,7.35,0.3,4.0816,295267.24,221240.704
24,000936.SZ,20190906,7.36,7.45,7.25,7.35,7.35,0.0,0.0,243135.6,178746.375
25,000936.SZ,20190905,7.21,7.5,7.2,7.35,7.14,0.21,2.9412,392829.6,289463.098
26,000936.SZ,20190904,7.08,7.17,7.05,7.14,7.1,0.04,0.5634,151061.88,107425.139
27,000936.SZ,20190903,7.12,7.12,7.04,7.1,7.12,-0.02,-0.2809,133246.0,94313.461
28,000936.SZ,20190902,6.9,7.13,6.86,7.12,6.9,0.22,3.1884,183759.22,128901.943
29,000936.SZ,20190830,7.08,7.08,6.88,6.9,7.01,-0.11,-1.5692,142411.21,99162.713
30,000936.SZ,20190829,7.12,7.13,7.0,7.01,7.08,-0.07,-0.9887,130952.52,92466.339
31,000936.SZ,20190828,7.28,7.28,7.08,7.08,7.23,-0.15,-2.0747,210815.71,150238.997
32,000936.SZ,20190827,7.05,7.25,7.04,7.23,7.0,0.23,3.2857,212140.7,151771.446
33,000936.SZ,20190826,6.95,7.04,6.86,7.0,7.11,-0.11,-1.5471,154703.51,107650.289
34,000936.SZ,20190823,7.28,7.28,7.08,7.11,7.27,-0.16,-2.2008,159324.89,113891.318
35,000936.SZ,20190822,7.35,7.38,7.18,7.27,7.35,-0.08,-1.0884,151996.3,110231.461
36,000936.SZ,20190821,7.18,7.51,7.13,7.35,7.21,0.14,1.9417,223196.02,164147.434
37,000936.SZ,20190820,7.31,7.34,7.16,7.21,7.24,-0.03,-0.4144,149437.89,108420.175
38,000936.SZ,20190819,6.99,7.26,6.97,7.24,6.93,0.31,4.4733,203969.69,145912.702
39,000936.SZ,20190816,6.92,7.06,6.92,6.93,6.96,-0.03,-0.431,121307.88,84680.4
40,000936.SZ,20190815,6.81,6.97,6.7,6.96,6.97,-0.01,-0.1435,127218.12,86788.927
41,000936.SZ,20190814,7.01,7.12,6.96,6.97,6.83,0.14,2.0498,156756.43,110257.464
42,000936.SZ,20190813,6.9,6.9,6.78,6.83,6.97,-0.14,-2.0086,82173.28,56185.193
43,000936.SZ,20190812,6.87,6.97,6.78,6.97,6.85,0.12,1.7518,95545.81,65828.057
44,000936.SZ,20190809,7.09,7.12,6.85,6.85,7.03,-0.18,-2.5605,111459.5,77507.641
45,000936.SZ,20190808,7.09,7.14,7.01,7.03,7.06,-0.03,-0.4249,107101.7,75576.952
46,000936.SZ,20190807,7.0,7.2,7.0,7.06,6.93,0.13,1.8759,172321.95,122383.031
47,000936.SZ,20190806,7.1,7.1,6.75,6.93,7.32,-0.39,-5.3279,229522.02,159062.786
48,000936.SZ,20190805,7.45,7.54,7.31,7.32,7.58,-0.26,-3.4301,145742.1,108088.417
49,000936.SZ,20190802,7.7,7.7,7.18,7.58,7.94,-0.36,-4.534,357749.1,267046.188
50,000936.SZ,20190801,8.1,8.11,7.92,7.94,8.14,-0.2,-2.457,201333.1,161076.73
51,000936.SZ,20190731,8.29,8.29,8.13,8.14,8.29,-0.15,-1.8094,104557.54,85371.823
52,000936.SZ,20190730,8.23,8.36,8.23,8.29,8.22,0.07,0.8516,122115.13,101470.557
53,000936.SZ,20190729,8.36,8.37,8.13,8.22,8.31,-0.09,-1.083,141027.92,116094.676
54,000936.SZ,20190726,8.48,8.49,8.24,8.31,8.54,-0.23,-2.6932,206673.21,172160.272
55,000936.SZ,20190725,8.6,8.67,8.51,8.54,8.64,-0.1,-1.1574,178297.12,152945.819
56,000936.SZ,20190724,8.65,8.75,8.6,8.64,8.64,0.0,0.0,192609.73,166935.62
57,000936.SZ,20190723,8.49,8.78,8.46,8.64,8.72,-0.08,-0.9174,250216.53,214789.3
58,000936.SZ,20190722,9.86,9.9,8.63,8.72,9.57,-0.85,-8.8819,494076.84,451493.949
59,000936.SZ,20190719,9.33,9.58,9.23,9.57,9.2,0.37,4.0217,420444.2,396063.172
60,000936.SZ,20190718,9.1,9.35,9.07,9.2,9.2,0.0,0.0,231162.0,212779.94
61,000936.SZ,20190717,9.15,9.31,9.06,9.2,9.18,0.02,0.2179,215181.06,198089.801
62,000936.SZ,20190716,8.95,9.18,8.85,9.18,8.93,0.25,2.7996,149500.0,134363.383
63,000936.SZ,20190715,8.77,9.01,8.68,8.93,8.78,0.15,1.7084,165075.48,146636.536
64,000936.SZ,20190712,8.58,8.82,8.5,8.78,8.55,0.23,2.6901,137313.81,119065.822
65,000936.SZ,20190711,8.74,8.85,8.52,8.55,8.71,-0.16,-1.837,134150.01,116515.165
66,000936.SZ,20190710,8.82,8.91,8.69,8.71,8.91,-0.2,-2.2447,151451.49,133002.427
67,000936.SZ,20190709,9.13,9.19,8.75,8.96,9.12,-0.16,-1.7544,246392.48,219800.334
68,000936.SZ,20190708,9.3,9.57,9.02,9.12,9.35,-0.23,-2.4599,370969.66,346733.795
69,000936.SZ,20190705,9.3,9.4,9.22,9.35,9.28,0.07,0.7543,156723.0,145980.077
70,000936.SZ,20190704,9.36,9.38,9.18,9.28,9.37,-0.09,-0.9605,190029.0,176240.928
71,000936.SZ,20190703,9.02,9.6,8.93,9.37,9.02,0.35,3.8803,403509.81,374655.135
72,000936.SZ,20190702,9.14,9.14,8.97,9.02,9.14,-0.12,-1.3129,156542.7,141500.977
73,000936.SZ,20190701,9.18,9.21,9.01,9.14,8.93,0.21,2.3516,234362.73,213507.888
74,000936.SZ,20190628,8.9,9.17,8.84,8.93,8.77,0.16,1.8244,272825.43,244919.674
75,000936.SZ,20190627,8.69,8.83,8.69,8.77,8.69,0.08,0.9206,121617.01,106545.186
76,000936.SZ,20190626,8.77,8.81,8.63,8.69,8.76,-0.07,-0.7991,92451.18,80633.275
77,000936.SZ,20190625,8.94,8.94,8.59,8.76,8.96,-0.2,-2.2321,162030.57,141382.493
78,000936.SZ,20190624,9.06,9.06,8.9,8.96,9.09,-0.13,-1.4301,123493.74,110677.805
79,000936.SZ,20190621,8.99,9.14,8.95,9.09,8.96,0.13,1.4509,176402.04,159908.899
80,000936.SZ,20190620,8.73,9.1,8.72,8.96,8.78,0.18,2.0501,178616.46,159455.095
81,000936.SZ,20190619,8.91,9.02,8.77,8.78,8.68,0.1,1.1521,169579.08,151119.016
82,000936.SZ,20190618,8.8,8.87,8.59,8.68,8.82,-0.14,-1.5873,114029.18,98878.304
83,000936.SZ,20190617,8.85,8.98,8.79,8.82,8.83,-0.01,-0.1133,95505.82,84719.478
84,000936.SZ,20190614,9.35,9.4,8.81,8.83,9.36,-0.53,-5.6624,241319.57,218849.527
85,000936.SZ,20190613,9.27,9.45,9.23,9.36,9.35,0.01,0.107,177148.24,165490.929
86,000936.SZ,20190612,9.36,9.5,9.2,9.35,9.44,-0.09,-0.9534,206377.23,192635.3
87,000936.SZ,20190611,9.11,9.47,9.02,9.44,9.07,0.37,4.0794,234698.21,217925.614
88,000936.SZ,20190610,8.87,9.16,8.73,9.07,8.76,0.31,3.5388,201445.72,180942.202
89,000936.SZ,20190606,9.06,9.22,8.69,8.76,9.12,-0.36,-3.9474,239243.7,214682.748
90,000936.SZ,20190605,9.18,9.2,9.0,9.12,9.05,0.07,0.7735,193555.49,176376.535
91,000936.SZ,20190604,9.68,9.73,8.94,9.05,9.47,-0.42,-4.4351,334413.4,309519.235
92,000936.SZ,20190603,9.62,9.76,9.31,9.47,9.65,-0.18,-1.8653,241912.09,231492.496
