,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,603330.SH,20191018,14.45,14.48,14.0,14.09,14.34,-0.25,-1.7434,10533.14,15016.157
1,603330.SH,20191017,14.26,14.65,14.22,14.34,14.26,0.08,0.561,17057.42,24639.457
2,603330.SH,20191016,14.3,14.35,14.1,14.26,14.27,-0.01,-0.0701,10720.08,15261.031
3,603330.SH,20191015,14.34,14.4,14.11,14.27,14.35,-0.08,-0.5575,10293.51,14652.979
4,603330.SH,20191014,14.45,14.57,14.23,14.35,14.34,0.01,0.0697,15195.11,21861.885
5,603330.SH,20191011,14.33,14.4,14.15,14.34,14.34,0.0,0.0,10476.0,14970.003
6,603330.SH,20191010,13.97,14.37,13.9,14.34,14.0,0.34,2.4286,14554.24,20689.338
7,603330.SH,20191009,13.84,14.06,13.63,14.0,13.86,0.14,1.0101,7485.68,10368.457
8,603330.SH,20191008,13.8,14.27,13.61,13.86,13.83,0.03,0.2169,10213.62,14277.673
9,603330.SH,20190930,13.76,14.03,13.72,13.83,13.7,0.13,0.9489,9350.58,12966.135
10,603330.SH,20190927,13.54,13.79,13.53,13.7,13.53,0.17,1.2565,7614.67,10435.336
11,603330.SH,20190926,13.97,14.06,13.44,13.53,13.97,-0.44,-3.1496,8868.02,12198.879
12,603330.SH,20190925,14.21,14.26,13.88,13.97,14.3,-0.33,-2.3077,9395.41,13212.746
13,603330.SH,20190924,14.24,14.43,14.17,14.3,14.25,0.05,0.3509,16921.4,24281.793
14,603330.SH,20190923,14.53,14.53,14.01,14.25,14.34,-0.09,-0.6276,13203.8,18738.167
15,603330.SH,20190920,14.45,14.47,14.16,14.34,14.36,-0.02,-0.1393,19288.14,27577.541
16,603330.SH,20190919,13.91,14.36,13.9,14.36,13.98,0.38,2.7182,19463.79,27569.561
17,603330.SH,20190918,13.91,14.05,13.85,13.98,13.9,0.08,0.5755,8025.78,11213.094
18,603330.SH,20190917,14.19,14.25,13.76,13.9,14.17,-0.27,-1.9054,11937.38,16706.254
19,603330.SH,20190916,14.02,14.19,13.91,14.17,14.03,0.14,0.9979,10076.92,14228.783
20,603330.SH,20190912,14.08,14.1,13.8,14.03,14.02,0.01,0.0713,9984.47,13928.65
21,603330.SH,20190911,13.98,14.14,13.94,14.02,13.98,0.04,0.2861,8884.62,12463.58
22,603330.SH,20190910,14.0,14.04,13.85,13.98,14.03,-0.05,-0.3564,8830.43,12316.616
23,603330.SH,20190909,14.0,14.05,13.82,14.03,13.92,0.11,0.7902,13541.66,18859.635
24,603330.SH,20190906,13.87,13.95,13.75,13.92,13.8,0.12,0.8696,11098.84,15347.521
25,603330.SH,20190905,13.76,13.93,13.75,13.8,13.74,0.06,0.4367,13048.22,18061.805
26,603330.SH,20190904,13.58,13.74,13.56,13.74,13.7,0.04,0.292,7734.74,10564.806
